DepMap_ID
A4GNT (51146) Exp
AADAT (51166) Exp
AAGAB (79719) Exp
AAK1 (22848) Exp
AAMDC (28971) Exp
AAR2 (25980) Exp
ABCA3 (21) Exp
ABCB6 (10058) Exp
ABCC9 (10060) Exp
ABCD3 (5825) Exp
ABCG4 (64137) Exp
ABHD12 (26090) Exp
ABHD5 (51099) Exp
ABHD8 (79575) Exp
ABI2 (10152) Exp
ABI3BP (25890) Exp
ABL1 (25) Exp
ABL2 (27) Exp
ACADL (33) Exp
ACAN (176) Exp
ACBD3 (64746) Exp
ACBD7 (414149) Exp
ACKR1 (2532) Exp
ACLY (47) Exp
ACO1 (48) Exp
ACOT7 (11332) Exp
ACOT9 (23597) Exp
ACOX3 (8310) Exp
ACP2 (53) Exp
ACSL4 (2182) Exp
ACSM5 (54988) Exp
ACSS3 (79611) Exp
ACTA2 (59) Exp
ACTB (60) Exp
ACTBL2 (345651) Exp
ACTC1 (70) Exp
ACTG1 (71) Exp
ACTG2 (72) Exp
ACTN1 (87) Exp
ACTN2 (88) Exp
ACTR1A (10121) Exp
ACVR1 (90) Exp
ACVR2A (92) Exp
ADAL (161823) Exp
ADAM12 (8038) Exp
ADAM17 (6868) Exp
ADAM19 (8728) Exp
ADAM21 (8747) Exp
ADAM33 (80332) Exp
ADAMTS1 (9510) Exp
ADAMTS12 (81792) Exp
ADAMTS15 (170689) Exp
ADAMTS16 (170690) Exp
ADAMTS2 (9509) Exp
ADAMTS3 (9508) Exp
ADAMTS5 (11096) Exp
ADAMTS6 (11174) Exp
ADAMTS7 (11173) Exp
ADAMTS8 (11095) Exp
ADAMTS9 (56999) Exp
ADAMTSL1 (92949) Exp
ADAT1 (23536) Exp
ADCY2 (108) Exp
ADCY5 (111) Exp
ADCY6 (112) Exp
ADCY8 (114) Exp
ADCY9 (115) Exp
ADCYAP1 (116) Exp
ADCYAP1R1 (117) Exp
ADD1 (118) Exp
ADGRA2 (25960) Exp
ADGRA3 (166647) Exp
ADGRB2 (576) Exp
ADGRL2 (23266) Exp
ADGRL3 (23284) Exp
ADH5 (128) Exp
ADNP (23394) Exp
ADNP2 (22850) Exp
ADO (84890) Exp
ADORA1 (134) Exp
ADPRS (54936) Exp
AFAP1 (60312) Exp
AFAP1L1 (134265) Exp
AFF3 (3899) Exp
AFF4 (27125) Exp
AFP (174) Exp
AGAP1 (116987) Exp
AGGF1 (55109) Exp
AGO1 (26523) Exp
AGPAT1 (10554) Exp
AGPAT4 (56895) Exp
AGTR1 (185) Exp
AHCYL1 (10768) Exp
AHDC1 (27245) Exp
AIDA (64853) Exp
AJUBA (84962) Exp
AK1 (203) Exp
AK5 (26289) Exp
AK9 (221264) Exp
AKAP11 (11215) Exp
AKAP12 (9590) Exp
AKAP5 (9495) Exp
AKAP6 (9472) Exp
AKIP1 (56672) Exp
AKIRIN1 (79647) Exp
AKR1B1 (231) Exp
AKT1S1 (84335) Exp
AKT3 (10000) Exp
ALCAM (214) Exp
ALDH7A1 (501) Exp
ALK (238) Exp
ALKBH5 (54890) Exp
ALMS1 (7840) Exp
ALPK2 (115701) Exp
ALPL (249) Exp
ALS2 (57679) Exp
AMER3 (205147) Exp
AMH (268) Exp
AMMECR1L (83607) Exp
AMN1 (196394) Exp
AMOT (154796) Exp
AMOTL2 (51421) Exp
AMPH (273) Exp
AMZ2 (51321) Exp
ANAPC10 (10393) Exp
ANAPC11 (51529) Exp
ANAPC13 (25847) Exp
ANGEL2 (90806) Exp
ANGPTL2 (23452) Exp
ANK2 (287) Exp
ANKIB1 (54467) Exp
ANKRD1 (27063) Exp
ANKRD13C (81573) Exp
ANKRD30B (374860) Exp
ANKRD40 (91369) Exp
ANKRD45 (339416) Exp
ANKRD50 (57182) Exp
ANKRD52 (283373) Exp
ANKRD53 (79998) Exp
ANKRD54 (129138) Exp
ANKS3 (124401) Exp
ANLN (54443) Exp
ANO10 (55129) Exp
ANO4 (121601) Exp
ANO6 (196527) Exp
ANOS1 (3730) Exp
ANTXR1 (84168) Exp
ANXA5 (308) Exp
ANXA6 (309) Exp
AOPEP (84909) Exp
AOX1 (316) Exp
AP1M1 (8907) Exp
AP1S2 (8905) Exp
AP2M1 (1173) Exp
AP2S1 (1175) Exp
AP3B2 (8120) Exp
AP3S1 (1176) Exp
AP3S2 (10239) Exp
AP4E1 (23431) Exp
AP4M1 (9179) Exp
APBA1 (320) Exp
APBB1 (322) Exp
APBB2 (323) Exp
APC (324) Exp
APCDD1L (164284) Exp
API5 (8539) Exp
APLN (8862) Exp
APLP1 (333) Exp
APMAP (57136) Exp
APOL2 (23780) Exp
APOO (79135) Exp
APOOL (139322) Exp
APP (351) Exp
APPBP2 (10513) Exp
APPL2 (55198) Exp
AQP1 (358) Exp
AQP4 (361) Exp
ARF4 (378) Exp
ARF5 (381) Exp
ARFGAP3 (26286) Exp
ARFIP1 (27236) Exp
ARFIP2 (23647) Exp
ARHGAP17 (55114) Exp
ARHGAP20 (57569) Exp
ARHGAP22 (58504) Exp
ARHGAP24 (83478) Exp
ARHGAP28 (79822) Exp
ARHGAP29 (9411) Exp
ARHGAP31 (57514) Exp
ARHGAP35 (2909) Exp
ARHGAP36 (158763) Exp
ARHGAP44 (9912) Exp
ARHGAP6 (395) Exp
ARHGDIA (396) Exp
ARHGEF10 (9639) Exp
ARHGEF11 (9826) Exp
ARHGEF12 (23365) Exp
ARHGEF17 (9828) Exp
ARHGEF25 (115557) Exp
ARHGEF26 (26084) Exp
ARHGEF28 (64283) Exp
ARHGEF33 (100271715) Exp
ARHGEF40 (55701) Exp
ARID4B (51742) Exp
ARID5B (84159) Exp
ARL1 (400) Exp
ARL10 (285598) Exp
ARL13B (200894) Exp
ARL15 (54622) Exp
ARL16 (339231) Exp
ARL2BP (23568) Exp
ARL3 (403) Exp
ARL4C (10123) Exp
ARL4D (379) Exp
ARL5B (221079) Exp
ARL6 (84100) Exp
ARL6IP1 (23204) Exp
ARL8A (127829) Exp
ARMC2 (84071) Exp
ARMC9 (80210) Exp
ARMCX1 (51309) Exp
ARMCX2 (9823) Exp
ARMCX3 (51566) Exp
ARMCX4 (100131755) Exp
ARMCX6 (54470) Exp
ARMH4 (145407) Exp
ARMS2 (387715) Exp
ARNT2 (9915) Exp
ARNTL (406) Exp
ARPC5 (10092) Exp
ARPP19 (10776) Exp
ARRDC3 (57561) Exp
ARSB (411) Exp
ARSJ (79642) Exp
ARSK (153642) Exp
AS3MT (57412) Exp
ASAP2 (8853) Exp
ASAP3 (55616) Exp
ASB1 (51665) Exp
ASB3 (51130) Exp
ASB5 (140458) Exp
ASB6 (140459) Exp
ASH1L (55870) Exp
ASNSD1 (54529) Exp
ASPHD1 (253982) Exp
ASPHD2 (57168) Exp
ASTN1 (460) Exp
ASTN2 (23245) Exp
ASXL3 (80816) Exp
ATAT1 (79969) Exp
ATCAY (85300) Exp
ATF2 (1386) Exp
ATG10 (83734) Exp
ATG12 (9140) Exp
ATG16L1 (55054) Exp
ATG5 (9474) Exp
ATG9A (79065) Exp
ATL1 (51062) Exp
ATMIN (23300) Exp
ATOH8 (84913) Exp
ATP10D (57205) Exp
ATP11C (286410) Exp
ATP1B1 (481) Exp
ATP2B1 (490) Exp
ATP2B2 (491) Exp
ATP2B4 (493) Exp
ATP5PD (10476) Exp
ATP5PF (522) Exp
ATP6AP1 (537) Exp
ATP6AP2 (10159) Exp
