DepMap_ID
ABCE1 (6059) Exp
ABRAXAS1 (84142) Exp
ACADM (34) Exp
ADH5 (128) Exp
AFMID (125061) Exp
ALKBH8 (91801) Exp
ANAPC10 (10393) Exp
ANP32A (8125) Exp
ARL6IP6 (151188) Exp
ASB3 (51130) Exp
ATF2 (1386) Exp
BDH2 (56898) Exp
BORA (79866) Exp
BUD13 (84811) Exp
C4orf33 (132321) Exp
C8B (732) Exp
CAPZA1 (829) Exp
CBL (867) Exp
CCDC25 (55246) Exp
CCDC28A (25901) Exp
CCDC28B (79140) Exp
CCDC32 (90416) Exp
CCDC82 (79780) Exp
CCDC88A (55704) Exp
CCNB1IP1 (57820) Exp
CDC14A (8556) Exp
CDK8 (1024) Exp
CENPV (201161) Exp
CEP44 (80817) Exp
CEP57 (9702) Exp
CETN3 (1070) Exp
CMTM3 (123920) Exp
CNBP (7555) Exp
CNTRL (11064) Exp
COA7 (65260) Exp
COPS4 (51138) Exp
COX6C (1345) Exp
CSNK2A2 (1459) Exp
CWC22 (57703) Exp
CWC27 (10283) Exp
CWF19L2 (143884) Exp
DCAF13 (25879) Exp
DDX18 (8886) Exp
DDX19B (11269) Exp
DEPDC4 (120863) Exp
DNAJC8 (22826) Exp
DOCK11 (139818) Exp
ECHDC1 (55862) Exp
EEF1B2 (1933) Exp
EIF3E (3646) Exp
EIF3H (8667) Exp
EIF4E (1977) Exp
ELF2 (1998) Exp
ENOPH1 (58478) Exp
ENY2 (56943) Exp
ERCC8 (1161) Exp
ERH (2079) Exp
ESD (2098) Exp
EXOSC8 (11340) Exp
FGF8 (2253) Exp
FNTA (2339) Exp
FRG1 (2483) Exp
GAR1 (54433) Exp
GEMIN2 (8487) Exp
GLI1 (2735) Exp
GTF2B (2959) Exp
GTF2E2 (2961) Exp
HAUS1 (115106) Exp
HMGB1 (3146) Exp
HNF4G (3174) Exp
HNRNPA1 (3178) Exp
HNRNPC (3183) Exp
HNRNPD (3184) Exp
HNRNPDL (9987) Exp
HNRNPH3 (3189) Exp
HSD17B11 (51170) Exp
HSD17B13 (345275) Exp
IMPA1 (3612) Exp
INTS12 (57117) Exp
INTS8 (55656) Exp
ITGB3BP (23421) Exp
ITPRIPL1 (150771) Exp
JADE1 (79960) Exp
JMJD1C (221037) Exp
KIF18A (81930) Exp
KLHL23 (151230) Exp
KPNA5 (3841) Exp
L3MBTL3 (84456) Exp
LRCH1 (23143) Exp
LRRC40 (55631) Exp
LSM6 (11157) Exp
MAD2L1 (4085) Exp
MAGOH (4116) Exp
MAK16 (84549) Exp
MED28 (80306) Exp
METAP1 (23173) Exp
METTL14 (57721) Exp
METTL15 (196074) Exp
MND1 (84057) Exp
MRE11 (4361) Exp
MRPL13 (28998) Exp
MRPL42 (28977) Exp
MRPL44 (65080) Exp
MRPL50 (54534) Exp
MRPS18C (51023) Exp
MRPS22 (56945) Exp
MRPS31 (10240) Exp
MTREX (23517) Exp
MTRF1 (9617) Exp
N4BP2 (55728) Exp
NASP (4678) Exp
NDUFA5 (4698) Exp
NDUFB8 (4714) Exp
NDUFB9 (4715) Exp
NEK1 (4750) Exp
NIFK (84365) Exp
NIP7 (51388) Exp
NKAPD1 (55216) Exp
NOB1 (28987) Exp
NOC3L (64318) Exp
NOP10 (55505) Exp
NPM3 (10360) Exp
NSUN6 (221078) Exp
NUDCD1 (84955) Exp
NUP35 (129401) Exp
NUP37 (79023) Exp
NUP54 (53371) Exp
ORC2 (4999) Exp
OSTC (58505) Exp
PABPC1 (26986) Exp
PAICS (10606) Exp
PCM1 (5108) Exp
POLR1D (51082) Exp
POLR1H (30834) Exp
POT1 (25913) Exp
PPID (5481) Exp
PPIG (9360) Exp
PPIH (10465) Exp
PPIL3 (53938) Exp
PPP2R3C (55012) Exp
PSTK (118672) Exp
RBM7 (10179) Exp
RGS2 (5997) Exp
RNASEH2B (79621) Exp
RNF138 (51444) Exp
RPE (6120) Exp
RPF1 (80135) Exp
RPF2 (84154) Exp
RPL10A (4736) Exp
RPL11 (6135) Exp
RPL12 (6136) Exp
RPL21 (6144) Exp
RPL27 (6155) Exp
RPL27A (6157) Exp
RPL30 (6156) Exp
RPL35A (6165) Exp
RPL36A (6173) Exp
RPL37A (6168) Exp
RPL5 (6125) Exp
RPLP0 (6175) Exp
RPS11 (6205) Exp
RPS12 (6206) Exp
RPS13 (6207) Exp
RPS20 (6224) Exp
RPS23 (6228) Exp
RPS24 (6229) Exp
RPS25 (6230) Exp
RPS29 (6235) Exp
RPS7 (6201) Exp
RPS8 (6202) Exp
SAMD13 (148418) Exp
SARNP (84324) Exp
SCLT1 (132320) Exp
SDHD (6392) Exp
SF3B1 (23451) Exp
SLC43A1 (8501) Exp
SLC9B2 (133308) Exp
SMARCA5 (8467) Exp
SNRNP40 (9410) Exp
SNRPD1 (6632) Exp
SNU13 (4809) Exp
SREK1IP1 (285672) Exp
SRP72 (6731) Exp
SUGT1 (10910) Exp
TAF1D (79101) Exp
TAF5 (6877) Exp
TGDS (23483) Exp
TGS1 (96764) Exp
THYN1 (29087) Exp
TMA16 (55319) Exp
TPP2 (7174) Exp
TRAPPC11 (60684) Exp
TRAPPC8 (22878) Exp
TRMT11 (60487) Exp
TUBE1 (51175) Exp
UBE3D (90025) Exp
UFSP2 (55325) Exp
UQCRB (7381) Exp
UTP11 (51118) Exp
VIRMA (25962) Exp
WDCP (80304) Exp
WDR75 (84128) Exp
WRN (7486) Exp
XRCC5 (7520) Exp
ZBTB8OS (339487) Exp
ZC3H15 (55854) Exp
ZC3HC1 (51530) Exp
ZCCHC4 (29063) Exp
ZCCHC7 (84186) Exp
ZNF195 (7748) Exp
ZNF22 (7570) Exp
ZNF225 (7768) Exp
ZNF227 (7770) Exp
ZNF277 (11179) Exp
ZNF280C (55609) Exp
ZNF330 (27309) Exp
ZNF438 (220929) Exp
ZUP1 (221302) Exp
