DepMap_ID,ARHGAP29 (9411) Dep,ARL4C (10123) Dep,BCAR1 (9564) Dep,BCAR3 (8412) Dep,BCL2 (596) Dep,BCL2L1 (598) Dep,CCND1 (595) Dep,CCND2 (894) Dep,CCND3 (896) Dep,CCNE1 (898) Dep,CD44 (960) Dep,CDH2 (1000) Dep,CDK6 (1021) Dep,CFLAR (8837) Dep,DOCK5 (80005) Dep,DOCK7 (85440) Dep,EGFR (1956) Dep,EP300 (2033) Dep,ERBB2 (2064) Dep,EVA1A (84141) Dep,FERMT2 (10979) Dep,FGFR1 (2260) Dep,FOSL1 (8061) Dep,GPX8 (493869) Dep,GRHL2 (79977) Dep,H3C3 (8352) Dep,HNF1B (6928) Dep,IRS1 (3667) Dep,IRS2 (8660) Dep,ITGAV (3685) Dep,ITGB3 (3690) Dep,ITGB5 (3693) Dep,JUN (3725) Dep,KLF5 (688) Dep,MDM2 (4193) Dep,MYC (4609) Dep,NEDD9 (4739) Dep,PARD6B (84612) Dep,PAX8 (7849) Dep,RAC1 (5879) Dep,RHD (6007) Dep,SNAI2 (6591) Dep,SOCS3 (9021) Dep,SOX9 (6662) Dep,SQSTM1 (8878) Dep,TEAD1 (7003) Dep,TEAD3 (7005) Dep,TFAP2A (7020) Dep,TGIF1 (7050) Dep,TIPARP (25976) Dep,TP63 (8626) Dep,TRIO (7204) Dep,TWIST1 (7291) Dep,VCL (7414) Dep,WWTR1 (25937) Dep,YAP1 (10413) Dep,ZEB1 (6935) Dep,ZEB2 (9839) Dep,ZFP36L1 (677) Dep,ZNF217 (7764) Dep
ARHGAP29 (9411) Exp,0.418,0.175,0.346,0.349,-0.19,0.126,0.195,-0.135,-0.114,0.055,0.157,0.227,-0.163,0.241,0.323,0.282,0.257,-0.355,0.125,0.265,0.359,0.153,0.441,0.177,0.181,-0.01,0.182,0.094,-0.1,0.388,0.157,0.346,0.385,0.153,-0.056,-0.179,0.149,0.275,0.335,0.424,0.114,0.153,0.204,0.095,0.128,0.443,0.306,0.075,0.263,0.254,0.163,0.255,0.072,0.346,0.442,0.321,0.079,-0.122,0.427,-0.092
ARL4C (10123) Exp,0.182,0.315,0.261,0.2,-0.108,0.056,0.148,-0.053,-0.012,-0.053,0.138,0.23,-0.013,0.166,0.215,0.258,0.135,-0.248,-0.022,0.168,0.275,0.16,0.242,0.113,0.027,-0.007,0.141,0.096,-0.077,0.322,0.141,0.283,0.278,0.02,0.042,-0.177,0.123,0.173,0.229,0.321,0.091,0.059,0.127,0.113,0.149,0.341,0.105,-0.046,0.128,0.228,0.06,0.24,0.076,0.306,0.322,0.104,0.07,-0.083,0.392,-0.114
BCAR1 (9564) Exp,0.19,0.163,0.384,0.239,-0.183,0.047,0.235,-0.133,-0.067,0.066,0.149,0.25,-0.124,0.21,0.293,0.277,0.153,-0.253,0.07,0.154,0.37,0.167,0.315,0.166,0.134,0.024,0.156,0.114,-0.044,0.405,0.187,0.389,0.313,0.102,-0.058,-0.109,0.135,0.145,0.223,0.339,0.105,0.094,0.138,0.172,0.163,0.336,0.185,0.014,0.247,0.154,0.082,0.172,0.061,0.318,0.338,0.279,0.097,-0.018,0.316,-0.107
BCAR3 (8412) Exp,0.242,0.128,0.356,0.412,-0.195,0.001,0.186,-0.165,-0.05,-0.023,0.251,0.2,-0.056,0.224,0.326,0.238,0.241,-0.413,0.078,0.266,0.307,0.115,0.477,0.187,0.173,-0.011,0.045,0.104,-0.055,0.328,0.125,0.311,0.407,0.138,-0.09,-0.115,0.064,0.094,0.206,0.387,0.073,0.175,0.202,0.072,0.116,0.493,0.29,0.128,0.287,0.307,0.204,0.249,0.062,0.355,0.432,0.311,0.051,-0.072,0.453,-0.143
BCL2 (596) Exp,-0.232,-0.042,-0.215,-0.202,0.325,-0.178,-0.147,0.108,0.077,-0.08,-0.083,-0.027,0.078,-0.212,-0.267,-0.026,-0.35,0.346,-0.251,-0.087,-0.04,-0.052,-0.319,-0.1,-0.283,0.029,-0.08,-0.109,0.055,-0.084,0.013,-0.149,-0.123,-0.341,0.18,-0.043,-0.041,-0.109,-0.152,-0.255,-0.102,-0.104,-0.119,-0.116,-0.055,-0.307,-0.231,-0.059,-0.297,-0.183,-0.201,-0.114,0.014,-0.182,-0.216,-0.312,0.114,0.234,-0.286,-0.021
BCL2L1 (598) Exp,0.271,0.12,0.264,0.174,-0.198,0.353,0.089,-0.064,-0.052,0.007,0.051,0.044,-0.067,0.293,0.301,0.069,0.33,-0.256,0.159,0.152,0.062,0.029,0.24,-0.001,0.195,0.044,0.251,0.081,-0.052,0.161,0.095,0.239,0.152,0.245,-0.079,-0.061,0.161,0.215,0.217,0.208,0.043,0.003,0.047,0.094,0.082,0.297,0.205,0.009,0.213,0.169,0.129,0.141,-0.081,0.187,0.182,0.265,-0.01,-0.186,0.256,-0.067
CCND1 (595) Exp,0.11,0.106,0.179,0.172,-0.125,0.031,0.615,-0.166,-0.25,-0.042,0.048,0.214,-0.163,0.043,0.222,0.208,0.126,-0.22,0.088,0.157,0.259,0.041,0.246,0.142,0.134,0.031,0.062,0.075,0.067,0.247,0.085,0.217,0.165,0.084,0.057,-0.096,0.166,0.084,0.149,0.295,0.024,0.133,0.1,0.176,0.153,0.285,0.07,0.054,0.169,0.169,0.051,0.127,0.101,0.185,0.236,0.179,-0.007,0.018,0.181,-0.093
CCND2 (894) Exp,-0.022,-0.1,-0.119,-0.139,0.025,0.027,-0.249,0.358,-0.099,-0.015,-0.123,-0.12,0.089,-0.055,-0.153,-0.139,0.019,0.05,0.021,-0.113,-0.248,-0.057,-0.079,-0.077,-0.006,-0.001,-0.069,0.011,0.008,-0.208,-0.139,-0.192,-0.099,0.027,-0.081,0.17,-0.089,-0.061,-0.116,-0.17,-0.051,0.004,-0.113,-0.106,-0.106,-0.21,-0.092,-0.081,-0.064,0.004,0.085,-0.082,-0.021,-0.148,-0.176,-0.028,0.012,-0.031,-0.07,0.012
CCND3 (896) Exp,-0.044,0.017,0.047,-0.005,0.056,-0.052,-0.285,-0.054,0.367,0.049,0.074,0.046,0.051,-0.005,-0.013,0.053,-0.162,0.119,-0.113,-0.019,0.088,0.069,-0.08,0.013,-0.045,0.068,-0.064,-0.004,-0.051,0.092,0.102,0.081,0.063,-0.144,-0.038,0.009,-0.009,0.0,0.021,-0.028,0.05,-0.064,0.059,-0.047,0.011,-0.002,0.005,0.007,-0.016,-0.046,-0.091,0.048,0.027,0.05,-0.0,-0.049,0.032,0.212,0.042,0.033
CCNE1 (898) Exp,-0.022,-0.042,-0.05,-0.054,0.01,0.063,-0.296,-0.004,-0.042,0.393,-0.093,-0.079,-0.29,-0.113,-0.081,-0.008,-0.148,0.245,-0.037,-0.121,0.099,-0.067,-0.212,0.011,-0.111,-0.006,0.019,-0.012,0.006,0.065,0.003,0.044,-0.091,-0.039,0.04,-0.073,0.07,0.078,0.001,-0.066,0.022,-0.169,0.015,-0.016,-0.019,-0.166,-0.052,-0.004,-0.019,-0.193,-0.159,-0.091,0.01,-0.086,-0.1,-0.026,0.065,0.039,-0.098,0.115
